KMLid,OBJECTID,Validity_d,area,bp_address,deal_props,dealing,house_no,last_sale,postcode,price,propid,sale_date,strata,street,suburb,urbanity
649000/649146,320709,29 March 2026,828.3,"23 JACKSON CRES, PENNANT HILLS NSW 2120",1,AU935739,23,Y,2120,1600000,649146,9 November 2024,0,JACKSON CRESCENT,PENNANT HILLS,U
660000/660079,325293,29 March 2026,929.5,"5 NUNDA CL, PENNANT HILLS NSW 2120",1,AT726936,5,Y,2120,1930000,660079,9 November 2023,0,NUNDA CLOSE,PENNANT HILLS,U
629000/629304,312270,29 March 2026,923.2,"81 BLACKBUTT AVE, PENNANT HILLS NSW 2120",1,AR734550,81,Y,2120,1880000,629304,9 November 2021,0,BLACKBUTT AVENUE,PENNANT HILLS,U
634000/634870,314529,29 March 2026,967.5,"10 CLADDEN CL, PENNANT HILLS NSW 2120",1,AR754946,10,Y,2120,1915000,634870,9 November 2021,0,CLADDEN CLOSE,PENNANT HILLS,U
630000/630102,312606,29 March 2026,869.6,"66 BOUNDARY RD, PENNANT HILLS NSW 2120",1,AP802757,66,Y,2120,1100000,630102,9 November 2019,0,BOUNDARY ROAD,PENNANT HILLS,U
633000/633847,314080,29 March 2026,923.2,"8 CAVENDISH ST, PENNANT HILLS NSW 2120",1,AV74752,8,Y,2120,1450000,633847,9 May 2025,0,CAVENDISH STREET,PENNANT HILLS,U
3379000/3379011,334813,29 March 2026,649.9,"63A STEVENS ST, PENNANT HILLS NSW 2120",1,AS78711,63A,Y,2120,2000000,3379011,9 March 2022,0,STEVENS STREET,PENNANT HILLS,U
4120000/4120123,336218,29 March 2026,635.6,"24 YARRARA RD, PENNANT HILLS NSW 2120",1,AP232181,24,Y,2120,1200000,4120123,9 March 2019,0,YARRARA ROAD,PENNANT HILLS,U
4164000/4164620,336269,29 March 2026,367.6,"18 CAVENDISH ST, PENNANT HILLS NSW 2120",1,AS285667,18,Y,2120,1465000,4164620,9 June 2022,0,CAVENDISH STREET,PENNANT HILLS,U
673000/673115,330462,29 March 2026,849.2,"5 THORN ST, PENNANT HILLS NSW 2120",1,AR299903,5,Y,2120,2400000,673115,9 June 2021,0,THORN STREET,PENNANT HILLS,U
652000/652391,322169,29 March 2026,1247,"74 LAURENCE ST, PENNANT HILLS NSW 2120",1,AR483288,74,Y,2120,2500000,652391,9 July 2021,0,LAURENCE STREET,PENNANT HILLS,U
676000/676806,332214,29 March 2026,676.6,"123 WONGALA CRES, PENNANT HILLS NSW 2120",1,AV795791,123,Y,2120,1600000,676806,9 December 2025,0,WONGALA CRESCENT,PENNANT HILLS,U
653000/653580,322548,29 March 2026,980.1,"44 LOFTUS RD, PENNANT HILLS NSW 2120",1,AS899342,44,Y,2120,1710000,653580,9 December 2022,0,LOFTUS ROAD,PENNANT HILLS,U
4164000/4164621,336270,29 March 2026,395,"18A CAVENDISH ST, PENNANT HILLS NSW 2120",1,AS836977,18A,Y,2120,1300000,4164621,9 December 2022,0,CAVENDISH STREET,PENNANT HILLS,U
628000/628106,311689,29 March 2026,919.2,"20 BELLAMY ST, PENNANT HILLS NSW 2120",1,AV433695,20,Y,2120,2070000,628106,9 August 2025,0,BELLAMY STREET,PENNANT HILLS,U
672000/672319,330036,29 March 2026,923.2,"6 TAYLOR PL, PENNANT HILLS NSW 2120",1,AV421099,6,Y,2120,2600000,672319,9 August 2025,0,TAYLOR PLACE,PENNANT HILLS,U
3910000/3910788,335855,29 March 2026,836.2,"27 HILLCREST RD, PENNANT HILLS NSW 2120",1,AS812821,27,Y,2120,1680000,3910788,9 August 2022,0,HILLCREST ROAD,PENNANT HILLS,U
3234000/3234884,334440,29 March 2026,500.1,"3 BRIDDON CL, PENNANT HILLS NSW 2120",1,AU622659,3,Y,2120,2575000,3234884,8 October 2024,0,BRIDDON CLOSE,PENNANT HILLS,U
3896000/3896818,335796,29 March 2026,892,"6 WEEMALA RD, PENNANT HILLS NSW 2120",1,AR709604,6,Y,2120,2537000,3896818,8 October 2021,0,WEEMALA ROAD,PENNANT HILLS,U
644000/644107,318228,29 March 2026,695.6,"3 GEORGE ST, PENNANT HILLS NSW 2120",1,AR749732,3,Y,2120,2000000,644107,8 November 2021,0,GEORGE STREET,PENNANT HILLS,U
664000/664577,326660,29 March 2026,447.4,"456 PENNANT HILLS RD, PENNANT HILLS NSW 2120",1,AU168739,456,Y,2120,1400000,664577,8 May 2024,0,PENNANT HILLS ROAD,PENNANT HILLS,U
669000/669143,328603,29 March 2026,1132,"4 SELWYN CL, PENNANT HILLS NSW 2120",1,AT406088,4,Y,2120,2430000,669143,8 July 2023,0,SELWYN CLOSE,PENNANT HILLS,U
675000/675157,331498,29 March 2026,878.9,"18 WARNE ST, PENNANT HILLS NSW 2120",1,AT504067,18,Y,2120,2010000,675157,8 July 2023,0,WARNE STREET,PENNANT HILLS,U
629000/629326,312284,29 March 2026,923.2,"34 BLACKBUTT AVE, PENNANT HILLS NSW 2120",1,AR411397,34,Y,2120,700000,629326,8 July 2021,0,BLACKBUTT AVENUE,PENNANT HILLS,U
652000/652394,322171,29 March 2026,709.9,"68 LAURENCE ST, PENNANT HILLS NSW 2120",1,AP154270,68,Y,2120,1362500,652394,8 February 2019,0,LAURENCE STREET,PENNANT HILLS,U
651000/651934,321958,29 March 2026,929.5,"18 KURRAJONG ST, PENNANT HILLS NSW 2120",1,AV436413,18,Y,2120,1880000,651934,8 August 2025,0,KURRAJONG STREET,PENNANT HILLS,U
651000/651051,321531,29 March 2026,515.1,"16 KILLALOE AVE, PENNANT HILLS NSW 2120",1,AQ409810,16,Y,2120,1360000,651051,8 August 2020,0,KILLALOE AVENUE,PENNANT HILLS,U
649000/649141,320706,29 March 2026,834.7,"33 JACKSON CRES, PENNANT HILLS NSW 2120",1,AU91240,33,Y,2120,1775000,649141,8 April 2024,0,JACKSON CRESCENT,PENNANT HILLS,U
676000/676006,331890,29 March 2026,1246,"45 WESTWOOD ST, PENNANT HILLS NSW 2120",1,AS136366,45,Y,2120,1900000,676006,8 April 2022,0,WESTWOOD STREET,PENNANT HILLS,U
3406000/3406514,334861,29 March 2026,500.1,"8 POMONA ST, PENNANT HILLS NSW 2120",1,AP378231,8,Y,2120,1351000,3406514,8 April 2019,0,POMONA STREET,PENNANT HILLS,U
673000/673558,330690,29 March 2026,885.2,"10 TREBOR RD, PENNANT HILLS NSW 2120",1,AP615033,10,Y,2120,1350000,673558,7 September 2019,0,TREBOR ROAD,PENNANT HILLS,U
654000/654246,322897,29 March 2026,923.2,"8 LYNWOOD CL, PENNANT HILLS NSW 2120",1,AT606475,8,Y,2120,2100000,654246,7 October 2023,0,LYNWOOD CLOSE,PENNANT HILLS,U
673000/673125,330467,29 March 2026,2144,"33 THORN ST, PENNANT HILLS NSW 2120",1,AS810308,33,Y,2120,2300000,673125,7 October 2022,0,THORN STREET,PENNANT HILLS,U
675000/675175,331501,29 March 2026,500,"11 WARNE ST, PENNANT HILLS NSW 2120",1,AS693467,11,Y,2120,1725000,675175,7 November 2022,0,WARNE STREET,PENNANT HILLS,U
645000/645775,319091,29 March 2026,1088,"36 HAMPDEN RD, PENNANT HILLS NSW 2120",1,AU24783,36,Y,2120,2400000,645775,7 March 2024,0,HAMPDEN ROAD,PENNANT HILLS,U
675000/675763,331751,29 March 2026,765.1,"23 WERONA ST, PENNANT HILLS NSW 2120",1,AT209923,23,Y,2120,1850000,675763,7 March 2023,0,WERONA STREET,PENNANT HILLS,U
3224000/3224534,334416,29 March 2026,679,"1C SWAN PL, PENNANT HILLS NSW 2120",1,AQ45325,1C,Y,2120,1851000,3224534,7 March 2020,0,SWAN PLACE,PENNANT HILLS,U
673000/673170,330489,29 March 2026,1341,"24A THORN ST, PENNANT HILLS NSW 2120",1,AV258681,24A,Y,2120,2188000,673170,7 June 2025,0,THORN STREET,PENNANT HILLS,U
645000/645789,319102,29 March 2026,1271,"35A HAMPDEN RD, PENNANT HILLS NSW 2120",1,AU260101,35A,Y,2120,2100000,645789,7 June 2024,0,HAMPDEN ROAD,PENNANT HILLS,U
3924000/3924142,335932,29 March 2026,670.2,"23 FULBOURNE AVE, PENNANT HILLS NSW 2120",1,AS317993,23,Y,2120,1370000,3924142,7 June 2022,0,FULBOURNE AVENUE,PENNANT HILLS,U
626000/626370,310834,29 March 2026,702.7,"2 AZALEA GR, PENNANT HILLS NSW 2120",1,AR249645,2,Y,2120,407500,626370,7 July 2021,0,AZALEA GROVE,PENNANT HILLS,U
4047000/4047598,336127,29 March 2026,505.7,"10 CHARLOTTE LANE, PENNANT HILLS NSW 2120",1,AV969331,10,Y,2120,2450000,4047598,7 February 2026,0,CHARLOTTE LANE,PENNANT HILLS,U
6014000/6014941,336734,29 March 2026,534.5,"17C THE CRESCENT, PENNANT HILLS NSW 2120",1,AV967830,17C,Y,2120,1320000,6014941,7 February 2026,0,THE CRESCENT,PENNANT HILLS,U
631000/631089,312954,29 March 2026,725.6,"1 BRITANNIA ST, PENNANT HILLS NSW 2120",1,AP134722,1,Y,2120,1530000,631089,7 February 2019,0,BRITANNIA STREET,PENNANT HILLS,U
630000/630075,312595,29 March 2026,701.9,"7 BOUNDARY RD, PENNANT HILLS NSW 2120",1,AU427733,7,Y,2120,1930000,630075,7 August 2024,0,BOUNDARY ROAD,PENNANT HILLS,U
668000/668279,328203,29 March 2026,695.6,"22 ROSEMOUNT AVE, PENNANT HILLS NSW 2120",1,AR451487,22,Y,2120,2500000,668279,7 August 2021,0,ROSEMOUNT AVENUE,PENNANT HILLS,U
627000/627895,311589,29 March 2026,777.8,"11A BEECROFT RD, PENNANT HILLS NSW 2120",1,AQ522063,11A,Y,2120,1390000,627895,7 August 2020,0,BEECROFT ROAD,PENNANT HILLS,U
631000/631077,312948,29 March 2026,2276,"26 BRITANNIA ST, PENNANT HILLS NSW 2120",1,AQ427621,26,Y,2120,1850000,631077,7 August 2020,0,BRITANNIA STREET,PENNANT HILLS,U
666000/666608,327595,29 March 2026,465.2,"6 RAMSAY RD, PENNANT HILLS NSW 2120",1,AS168536,6,Y,2120,1670000,666608,7 April 2022,0,RAMSAY ROAD,PENNANT HILLS,U
629000/629321,312281,29 March 2026,923.2,"8A BLACKBUTT AVE, PENNANT HILLS NSW 2120",1,AU569254,8A,Y,2120,2060000,629321,6 September 2024,0,BLACKBUTT AVENUE,PENNANT HILLS,U
671000/671193,329473,29 March 2026,971.4,"44A STEVENS ST, PENNANT HILLS NSW 2120",1,AT632152,44A,Y,2120,2401900,671193,6 October 2023,0,STEVENS STREET,PENNANT HILLS,U
645000/645146,318780,29 March 2026,800.41,"20 GREYCLIFFE AVE, PENNANT HILLS NSW 2120",1,AR742823,20,Y,2120,2455000,645146,6 November 2021,0,GREYCLIFFE AVENUE,PENNANT HILLS,U
675000/675551,331655,29 March 2026,935.8,"19 WEARNE AVE, PENNANT HILLS NSW 2120",1,AQ672924,19,Y,2120,1685000,675551,6 November 2020,0,WEARNE AVENUE,PENNANT HILLS,U
644000/644888,318644,29 March 2026,942.2,"62 GREENHAVEN DR, PENNANT HILLS NSW 2120",1,AQ130308,62,Y,2120,1650000,644888,6 March 2020,0,GREENHAVEN DRIVE,PENNANT HILLS,U
674000/674314,331049,29 March 2026,920.4,"25 VAUGHAN AVE, PENNANT HILLS NSW 2120",1,AU361971,25,Y,2120,2225000,674314,6 July 2024,0,VAUGHAN AVENUE,PENNANT HILLS,U
675000/675552,331656,29 March 2026,935.8,"17 WEARNE AVE, PENNANT HILLS NSW 2120",1,AU421024,17,Y,2120,2150000,675552,6 July 2024,0,WEARNE AVENUE,PENNANT HILLS,U
3764000/3764006,335518,29 March 2026,500,"38B LAURENCE ST, PENNANT HILLS NSW 2120",1,AU418538,38B,Y,2120,2565000,3764006,6 July 2024,0,LAURENCE STREET,PENNANT HILLS,U
624000/624915,310094,29 March 2026,680,"34 ALBION ST, PENNANT HILLS NSW 2120",1,AT357586,34,Y,2120,1500000,624915,6 July 2023,0,ALBION STREET,PENNANT HILLS,U
630000/630576,312836,29 March 2026,1094,"12 BRIDDON CL, PENNANT HILLS NSW 2120",1,AR426224,12,Y,2120,1600000,630576,6 July 2021,0,BRIDDON CLOSE,PENNANT HILLS,U
653000/653598,322558,29 March 2026,771.4,"47 LOFTUS RD, PENNANT HILLS NSW 2120",1,AQ428557,47,Y,2120,1785000,653598,6 July 2020,0,LOFTUS ROAD,PENNANT HILLS,U
3552000/3552566,335133,29 March 2026,989.9,"5 SHERWOOD CL, PENNANT HILLS NSW 2120",1,AR938691,5,Y,2120,2230000,3552566,6 February 2022,0,SHERWOOD CLOSE,PENNANT HILLS,U
634000/634868,314528,29 March 2026,758.8,"6 CLADDEN CL, PENNANT HILLS NSW 2120",1,AQ950049,6,Y,2120,1915000,634868,6 February 2021,0,CLADDEN CLOSE,PENNANT HILLS,U
631000/631068,312945,29 March 2026,746.1,"20 BRITANNIA ST, PENNANT HILLS NSW 2120",1,AQ25658,20,Y,2120,1540000,631068,6 February 2020,0,BRITANNIA STREET,PENNANT HILLS,U
644000/644133,318244,29 March 2026,671.8,"2 / 43 GEORGE ST, PENNANT HILLS NSW 2120",1,AU201798,2/43,Y,2120,1800000,644133,6 April 2024,0,GEORGE STREET,PENNANT HILLS,U
651000/651050,321530,29 March 2026,1035,"18 KILLALOE AVE, PENNANT HILLS NSW 2120",1,AU259546,18,Y,2120,2145000,651050,6 April 2024,0,KILLALOE AVENUE,PENNANT HILLS,U
3258000/3258545,334555,29 March 2026,698,"9 BRECKS WAY, PENNANT HILLS NSW 2120",1,AS292931,9,Y,2120,1970001,3258545,6 April 2022,0,BRECKS WAY,PENNANT HILLS,U
645000/645147,318781,29 March 2026,801,"22 GREYCLIFFE AVE, PENNANT HILLS NSW 2120",1,AP613915,22,Y,2120,1375000,645147,5 September 2019,0,GREYCLIFFE AVENUE,PENNANT HILLS,U
647000/647709,320060,29 March 2026,189.7,"1A HILLCREST RD, PENNANT HILLS NSW 2120",1,AU592264,1A,Y,2120,1750000,647709,5 October 2024,0,HILLCREST ROAD,PENNANT HILLS,U
635000/635126,314670,29 March 2026,738.8,"1 CLEMENT CL, PENNANT HILLS NSW 2120",1,AR802950,1,Y,2120,2930000,635126,5 November 2021,0,CLEMENT CLOSE,PENNANT HILLS,U
3911000/3911124,335862,29 March 2026,892,"25 RAMSAY RD, PENNANT HILLS NSW 2120",1,AQ212903,25,Y,2120,1940000,3911124,5 May 2020,0,RAMSAY ROAD,PENNANT HILLS,U
674000/674311,331047,29 March 2026,1015,"19 VAUGHAN AVE, PENNANT HILLS NSW 2120",1,AV340539,19,Y,2120,2295000,674311,5 July 2025,0,VAUGHAN AVENUE,PENNANT HILLS,U
4281000/4281852,336392,29 March 2026,572.4,"7 SELWYN CL, PENNANT HILLS NSW 2120",1,AV338412,7,Y,2120,2680000,4281852,5 July 2025,0,SELWYN CLOSE,PENNANT HILLS,U
637000/637047,315559,29 March 2026,796.7,"35 DARTFORD RD, THORNLEIGH NSW 2120",1,AS568499,35,Y,2120,1760000,637047,9 September 2022,0,DARTFORD ROAD,THORNLEIGH,U
640000/640367,316670,29 March 2026,798.4,"9 EDMUNDSON CL, THORNLEIGH NSW 2120",1,AS570981,9,Y,2120,1540000,640367,9 September 2022,0,EDMUNDSON CLOSE,THORNLEIGH,U
4161000/4161573,336262,29 March 2026,607.2,"104 DARTFORD RD, THORNLEIGH NSW 2120",1,AS513688,104,Y,2120,1060000,4161573,9 September 2022,0,DARTFORD ROAD,THORNLEIGH,U
665000/665284,326894,29 March 2026,1897,"6 PIONEER AVE, THORNLEIGH NSW 2120",1,AR593679,6,Y,2120,4300000,665284,9 September 2021,0,PIONEER AVENUE,THORNLEIGH,U
674000/674167,330958,29 March 2026,929.5,"5 VALE RD, THORNLEIGH NSW 2120",1,AU584565,5,Y,2120,1375000,674167,9 October 2024,0,VALE ROAD,THORNLEIGH,U
651000/651768,321856,29 March 2026,942.2,"77 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AR638731,77,Y,2120,2005000,651768,9 October 2021,0,KOORINGAL AVENUE,THORNLEIGH,U
671000/671032,329397,29 March 2026,445.9,"40 STATION ST, THORNLEIGH NSW 2120",1,AQ697611,40,Y,2120,1355000,671032,9 October 2020,0,STATION STREET,THORNLEIGH,U
651000/651812,321881,29 March 2026,935.8,"62 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AP765287,62,Y,2120,1217000,651812,9 November 2019,0,KOORINGAL AVENUE,THORNLEIGH,U
637000/637065,315571,29 March 2026,695.6,"67 DARTFORD RD, THORNLEIGH NSW 2120",1,AS574428,67,Y,2120,3005000,637065,9 July 2022,0,DARTFORD ROAD,THORNLEIGH,U
649000/649331,320824,29 March 2026,746.1,"39 JANET AVE, THORNLEIGH NSW 2120",1,AR508402,39,Y,2120,1740000,649331,9 July 2021,0,JANET AVENUE,THORNLEIGH,U
675000/675084,331446,29 March 2026,739.8,"6 WAREEMBA AVE, THORNLEIGH NSW 2120",1,AP74212,6,Y,2120,970000,675084,9 January 2019,0,WAREEMBA AVENUE,THORNLEIGH,U
638000/638998,316242,29 March 2026,967.5,"103 DUFFY AVE, THORNLEIGH NSW 2120",1,AV493689,103,Y,2120,2790000,638998,9 August 2025,0,DUFFY AVENUE,THORNLEIGH,U
3879000/3879771,335746,29 March 2026,1101,"4A TRELAWNEY ST, THORNLEIGH NSW 2120",1,AV401959,4A,Y,2120,2200000,3879771,9 August 2025,0,TRELAWNEY STREET,THORNLEIGH,U
623000/623983,309878,29 March 2026,695.6,"18 ADAMSON AVE, THORNLEIGH NSW 2120",1,AU84982,18,Y,2120,1860000,623983,9 April 2024,0,ADAMSON AVENUE,THORNLEIGH,U
674000/674891,331344,29 March 2026,1037,"6 WANAWONG DR, THORNLEIGH NSW 2120",1,AT655546,6,Y,2120,2070000,674891,8 September 2023,0,WANAWONG DRIVE,THORNLEIGH,U
677000/677799,332719,29 March 2026,1107,"23 YARALLA CRES, THORNLEIGH NSW 2120",1,AU596729,23,Y,2120,1865000,677799,8 October 2024,0,YARALLA CRESCENT,THORNLEIGH,U
638000/638237,316050,29 March 2026,891.6,"15 DOBSON ST, THORNLEIGH NSW 2120",1,AS666613,15,Y,2120,1945000,638237,8 October 2022,0,DOBSON STREET,THORNLEIGH,U
659000/659578,325092,29 March 2026,980.1,"76 NORMAN AVE, THORNLEIGH NSW 2120",1,AR722794,76,Y,2120,1600000,659578,8 November 2021,0,NORMAN AVENUE,THORNLEIGH,U
623000/623989,309884,29 March 2026,771.4,"30 ADAMSON AVE, THORNLEIGH NSW 2120",1,AV112641,30,Y,2120,2065000,623989,8 March 2025,0,ADAMSON AVENUE,THORNLEIGH,U
675000/675113,331469,29 March 2026,935.8,"59 WAREEMBA AVE, THORNLEIGH NSW 2120",1,AU991748,59,Y,2120,1925000,675113,8 March 2025,0,WAREEMBA AVENUE,THORNLEIGH,U
651000/651814,321882,29 March 2026,929.5,"58 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AS301913,58,Y,2120,2200000,651814,8 June 2022,0,KOORINGAL AVENUE,THORNLEIGH,U
677000/677770,332699,29 March 2026,771.4,"38 YARALLA CRES, THORNLEIGH NSW 2120",1,AT369109,38,Y,2120,2365000,677770,8 July 2023,0,YARALLA CRESCENT,THORNLEIGH,U
651000/651790,321868,29 March 2026,923.2,"121 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AU913149,121,Y,2120,1300000,651790,8 February 2025,0,KOORINGAL AVENUE,THORNLEIGH,U
673000/673272,330547,29 March 2026,932.1,"24 TILLOCK ST, THORNLEIGH NSW 2120",1,AV842427,24,Y,2120,1737500,673272,8 December 2025,0,TILLOCK STREET,THORNLEIGH,U
653000/653393,322449,29 March 2026,593,"26A LOCKERBIE RD, THORNLEIGH NSW 2120",1,AT794577,26A,Y,2120,2200000,653393,8 December 2023,0,LOCKERBIE ROAD,THORNLEIGH,U
628000/628461,311831,29 March 2026,836.6,"59 BERESFORD RD, THORNLEIGH NSW 2120",1,AT580204,59,Y,2120,1840000,628461,8 August 2023,0,BERESFORD ROAD,THORNLEIGH,U
674000/674153,330948,29 March 2026,992.7,"24 VALE RD, THORNLEIGH NSW 2120",1,AT450414,24,Y,2120,1500000,674153,8 August 2023,0,VALE ROAD,THORNLEIGH,U
3417000/3417952,334885,29 March 2026,554.9,"7 ALMA CT, THORNLEIGH NSW 2120",1,AQ407948,7,Y,2120,1760000,3417952,8 August 2020,0,ALMA COURT,THORNLEIGH,U
3792000/3792905,335583,29 March 2026,500.1,"10A SEFTON RD, THORNLEIGH NSW 2120",1,AU634678,10A,Y,2120,1750000,3792905,7 September 2024,0,SEFTON ROAD,THORNLEIGH,U
3921000/3921421,335907,29 March 2026,892.1,"17 PRITCHARD ST, THORNLEIGH NSW 2120",1,AU634600,17,Y,2120,2085000,3921421,7 September 2024,0,PRITCHARD STREET,THORNLEIGH,U
674000/674160,330951,29 March 2026,973.8,"21 VALE RD, THORNLEIGH NSW 2120",1,AP618016,21,Y,2120,1180000,674160,7 September 2019,0,VALE ROAD,THORNLEIGH,U
651000/651764,321852,29 March 2026,929.5,"69 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AT616361,69,Y,2120,2205000,651764,7 October 2023,0,KOORINGAL AVENUE,THORNLEIGH,U
631000/631603,313209,29 March 2026,992.7,"28 BUNGOWEN AVE, THORNLEIGH NSW 2120",1,AS810311,28,Y,2120,1824000,631603,7 October 2022,0,BUNGOWEN AVENUE,THORNLEIGH,U
623000/623999,309888,29 March 2026,746.1,"41 ADAMSON AVE, THORNLEIGH NSW 2120",1,AU647426,41,Y,2120,1731000,623999,7 November 2024,0,ADAMSON AVENUE,THORNLEIGH,U
653000/653380,322439,29 March 2026,450.5,"4A LOCKERBIE RD, THORNLEIGH NSW 2120",1,AU751987,4A,Y,2120,1550000,653380,7 November 2024,0,LOCKERBIE ROAD,THORNLEIGH,U
675000/675086,331448,29 March 2026,752.5,"2 WAREEMBA AVE, THORNLEIGH NSW 2120",1,AQ854018,2,Y,2120,1265000,675086,7 November 2020,0,WAREEMBA AVENUE,THORNLEIGH,U
625000/625298,310258,29 March 2026,1069,"11 AMBER CL, THORNLEIGH NSW 2120",1,AV273485,11,Y,2120,2015000,625298,7 May 2025,0,AMBER CLOSE,THORNLEIGH,U
672000/672614,330190,29 March 2026,773.2,"43 THE COMENARRA PARKWAY, THORNLEIGH NSW 2120",1,AU164011,43,Y,2120,1786000,672614,7 May 2024,0,THE COMENARRA PARKWAY,THORNLEIGH,U
3911000/3911749,335866,29 March 2026,395.2,"102 THE ESPLANADE, THORNLEIGH NSW 2120",1,AS249529,102,Y,2120,1355000,3911749,7 May 2022,0,THE ESPLANADE,THORNLEIGH,U
659000/659245,324929,29 March 2026,739.8,"44 NICHOLSON AVE, THORNLEIGH NSW 2120",1,AR284879,44,Y,2120,2200000,659245,7 May 2021,0,NICHOLSON AVENUE,THORNLEIGH,U
664000/664920,326741,29 March 2026,614.3,"195 PENNANT HILLS RD, THORNLEIGH NSW 2120",1,AU990894,195,Y,2120,1250000,664920,7 March 2025,0,PENNANT HILLS ROAD,THORNLEIGH,U
3082000/3082959,334044,29 March 2026,29820,"9 CHILVERS RD, THORNLEIGH NSW 2120",1,AU914175,9,Y,2120,77750000,3082959,7 March 2025,0,CHILVERS ROAD,THORNLEIGH,U
649000/649236,320765,29 March 2026,272.8,"25 JAMIESON WAY, THORNLEIGH NSW 2120",1,AV260207,25,Y,2120,1450000,649236,7 June 2025,0,JAMIESON WAY,THORNLEIGH,U
653000/653253,322399,29 March 2026,238.3,"32 LIVINGSTONE WAY, THORNLEIGH NSW 2120",1,AV256149,32,Y,2120,1330000,653253,7 June 2025,0,LIVINGSTONE WAY,THORNLEIGH,U
673000/673269,330544,29 March 2026,616,"28A TILLOCK ST, THORNLEIGH NSW 2120",1,AT318974,28A,Y,2120,1595000,673269,7 June 2023,0,TILLOCK STREET,THORNLEIGH,U
628000/628467,311835,29 March 2026,650.4,"47 BERESFORD RD, THORNLEIGH NSW 2120",1,AR286969,47,Y,2120,2150000,628467,7 June 2021,0,BERESFORD ROAD,THORNLEIGH,U
659000/659547,325071,29 March 2026,948.5,"26 NORMAN AVE, THORNLEIGH NSW 2120",1,AV968555,26,Y,2120,1390000,659547,7 February 2026,0,NORMAN AVENUE,THORNLEIGH,U
649000/649339,320830,29 March 2026,796.7,"30 JANET AVE, THORNLEIGH NSW 2120",1,AU764133,30,Y,2120,1890000,649339,7 December 2024,0,JANET AVENUE,THORNLEIGH,U
675000/675074,331438,29 March 2026,727.2,"26 WAREEMBA AVE, THORNLEIGH NSW 2120",1,AT842595,26,Y,2120,1885000,675074,7 December 2023,0,WAREEMBA AVENUE,THORNLEIGH,U
4043000/4043010,336110,29 March 2026,3395,"3-7 HILLMONT AVE, THORNLEIGH NSW 2120",1,AU544691,3,Y,2120,12250000,4043010,7 August 2024,0,HILLMONT AVENUE,THORNLEIGH,U
659000/659613,325115,29 March 2026,992.7,"73 NORMAN AVE, THORNLEIGH NSW 2120",1,AR594836,73,Y,2120,1525000,659613,7 August 2021,0,NORMAN AVENUE,THORNLEIGH,U
672000/672624,330198,29 March 2026,961.1,"29 THE COMENARRA PARKWAY, THORNLEIGH NSW 2120",1,AR442899,29,Y,2120,1580000,672624,7 August 2021,0,THE COMENARRA PARKWAY,THORNLEIGH,U
637000/637181,315640,29 March 2026,490.4,"50 DARTFORD RD, THORNLEIGH NSW 2120",1,AQ112368,50,Y,2120,910000,637181,7 April 2020,0,DARTFORD ROAD,THORNLEIGH,U
659000/659548,325072,29 March 2026,841,"28 NORMAN AVE, THORNLEIGH NSW 2120",1,AT509335,28,Y,2120,1515000,659548,6 September 2023,0,NORMAN AVENUE,THORNLEIGH,U
664000/664928,326746,29 March 2026,738.7,"181A PENNANT HILLS RD, THORNLEIGH NSW 2120",1,AS553998,181A,Y,2120,1750000,664928,6 September 2022,0,PENNANT HILLS ROAD,THORNLEIGH,U
651000/651828,321892,29 March 2026,739.8,"28 KOORINGAL AVE, THORNLEIGH NSW 2120",1,AR459917,28,Y,2120,2150000,651828,6 September 2021,0,KOORINGAL AVENUE,THORNLEIGH,U
628000/628478,311843,29 March 2026,696.8,"25 BERESFORD RD, THORNLEIGH NSW 2120",1,AP616791,25,Y,2120,1095000,628478,6 September 2019,0,BERESFORD ROAD,THORNLEIGH,U
652000/652329,322135,29 March 2026,714.1,"14 LAROOL CRES, THORNLEIGH NSW 2120",1,AV854336,14,Y,2120,1835000,652329,6 November 2025,0,LAROOL CRESCENT,THORNLEIGH,U
3880000/3880318,335752,29 March 2026,676.7,"23 TRELAWNEY ST, THORNLEIGH NSW 2120",1,AU874646,23,Y,2120,1733000,3880318,6 November 2024,0,TRELAWNEY STREET,THORNLEIGH,U
635000/635714,314916,29 March 2026,866.3,"18 COOLABAH CL, THORNLEIGH NSW 2120",1,AT193582,18,Y,2120,1880000,635714,6 May 2023,0,COOLABAH CLOSE,THORNLEIGH,U
644000/644176,318264,29 March 2026,739.8,"24 GILGANDRA AVE, THORNLEIGH NSW 2120",1,AR153540,24,Y,2120,1870000,644176,6 May 2021,0,GILGANDRA AVENUE,THORNLEIGH,U
673000/673283,330552,29 March 2026,1088,"2C TILLOCK ST, THORNLEIGH NSW 2120",1,AQ231972,2C,Y,2120,1200000,673283,6 May 2020,0,TILLOCK STREET,THORNLEIGH,U
635000/635717,314918,29 March 2026,841,"15 COOLABAH CL, THORNLEIGH NSW 2120",1,AV13540,15,Y,2120,2950000,635717,6 March 2025,0,COOLABAH CLOSE,THORNLEIGH,U
637000/637043,315556,29 March 2026,701.9,"27 DARTFORD RD, THORNLEIGH NSW 2120",1,AV23428,27,Y,2120,2190000,637043,6 March 2025,0,DARTFORD ROAD,THORNLEIGH,U
